seat,seatRow,seatNumber,section,status,price
A1,A,1,Recliner,available,24.5
A2,A,2,Recliner,available,24.5
A3,A,3,Recliner,available,24.5
A4,A,4,Recliner,sold,24.5
A5,A,5,Recliner,available,24.5
A6,A,6,Recliner,sold,24.5
A7,A,7,Recliner,sold,24.5
A8,A,8,Recliner,available,24.5
A9,A,9,Recliner,sold,24.5
A10,A,10,Recliner,available,24.5
A11,A,11,Recliner,available,24.5
A12,A,12,Recliner,sold,24.5
B1,B,1,Recliner,available,24.5
B2,B,2,Recliner,available,24.5
B3,B,3,Recliner,available,24.5
B4,B,4,Recliner,available,24.5
B5,B,5,Recliner,available,24.5
B6,B,6,Recliner,available,24.5
B7,B,7,Recliner,available,24.5
B8,B,8,Recliner,available,24.5
B9,B,9,Recliner,available,24.5
B10,B,10,Recliner,available,24.5
B11,B,11,Recliner,available,24.5
B12,B,12,Recliner,available,24.5
C1,C,1,Premium,available,19.5
C2,C,2,Premium,available,19.5
C3,C,3,Premium,sold,19.5
C4,C,4,Premium,available,19.5
C5,C,5,Premium,sold,19.5
C6,C,6,Premium,available,19.5
C7,C,7,Premium,available,19.5
C8,C,8,Premium,sold,19.5
C9,C,9,Premium,sold,19.5
C10,C,10,Premium,available,19.5
C11,C,11,Premium,sold,19.5
C12,C,12,Premium,available,19.5
C13,C,13,Premium,available,19.5
C14,C,14,Premium,available,19.5
D1,D,1,Premium,available,19.5
D2,D,2,Premium,available,19.5
D3,D,3,Premium,available,19.5
D4,D,4,Premium,available,19.5
D5,D,5,Premium,available,19.5
D6,D,6,Premium,available,19.5
D7,D,7,Premium,sold,19.5
D8,D,8,Premium,available,19.5
D9,D,9,Premium,available,19.5
D10,D,10,Premium,available,19.5
D11,D,11,Premium,available,19.5
D12,D,12,Premium,available,19.5
D13,D,13,Premium,available,19.5
D14,D,14,Premium,available,19.5
E1,E,1,Premium,available,19.5
E2,E,2,Premium,available,19.5
E3,E,3,Premium,available,19.5
E4,E,4,Premium,available,19.5
E5,E,5,Premium,sold,19.5
E6,E,6,Premium,available,19.5
E7,E,7,Premium,available,19.5
E8,E,8,Premium,available,19.5
E9,E,9,Premium,sold,19.5
E10,E,10,Premium,available,19.5
E11,E,11,Premium,sold,19.5
E12,E,12,Premium,sold,19.5
E13,E,13,Premium,available,19.5
E14,E,14,Premium,available,19.5
F1,F,1,Standard,available,15.0
F2,F,2,Standard,available,15.0
F3,F,3,Standard,available,15.0
F4,F,4,Standard,available,15.0
F5,F,5,Standard,available,15.0
F6,F,6,Standard,sold,15.0
F7,F,7,Standard,available,15.0
F8,F,8,Standard,available,15.0
F9,F,9,Standard,available,15.0
F10,F,10,Standard,available,15.0
F11,F,11,Standard,sold,15.0
F12,F,12,Standard,available,15.0
F13,F,13,Standard,available,15.0
F14,F,14,Standard,available,15.0
F15,F,15,Standard,available,15.0
F16,F,16,Standard,available,15.0
G1,G,1,Standard,available,15.0
G2,G,2,Standard,sold,15.0
G3,G,3,Standard,available,15.0
G4,G,4,Standard,available,15.0
G5,G,5,Standard,sold,15.0
G6,G,6,Standard,sold,15.0
G7,G,7,Standard,available,15.0
G8,G,8,Standard,available,15.0
G9,G,9,Standard,sold,15.0
G10,G,10,Standard,sold,15.0
G11,G,11,Standard,sold,15.0
G12,G,12,Standard,available,15.0
G13,G,13,Standard,sold,15.0
G14,G,14,Standard,available,15.0
G15,G,15,Standard,available,15.0
G16,G,16,Standard,available,15.0
H1,H,1,Standard,available,15.0
H2,H,2,Standard,available,15.0
H3,H,3,Standard,available,15.0
H4,H,4,Standard,available,15.0
H5,H,5,Standard,sold,15.0
H6,H,6,Standard,available,15.0
H7,H,7,Standard,available,15.0
H8,H,8,Standard,available,15.0
H9,H,9,Standard,sold,15.0
H10,H,10,Standard,available,15.0
H11,H,11,Standard,available,15.0
H12,H,12,Standard,available,15.0
H13,H,13,Standard,available,15.0
H14,H,14,Standard,available,15.0
H15,H,15,Standard,available,15.0
H16,H,16,Standard,available,15.0
J1,J,1,Balcony,available,12.0
J2,J,2,Balcony,available,12.0
J3,J,3,Balcony,available,12.0
J4,J,4,Balcony,available,12.0
J5,J,5,Balcony,available,12.0
J6,J,6,Balcony,available,12.0
J7,J,7,Balcony,available,12.0
J8,J,8,Balcony,available,12.0
J9,J,9,Balcony,sold,12.0
J10,J,10,Balcony,available,12.0
J11,J,11,Balcony,available,12.0
J12,J,12,Balcony,available,12.0
J13,J,13,Balcony,available,12.0
J14,J,14,Balcony,available,12.0
K1,K,1,Balcony,available,12.0
K2,K,2,Balcony,available,12.0
K3,K,3,Balcony,available,12.0
K4,K,4,Balcony,available,12.0
K5,K,5,Balcony,available,12.0
K6,K,6,Balcony,sold,12.0
K7,K,7,Balcony,available,12.0
K8,K,8,Balcony,available,12.0
K9,K,9,Balcony,sold,12.0
K10,K,10,Balcony,available,12.0
K11,K,11,Balcony,available,12.0
K12,K,12,Balcony,available,12.0
K13,K,13,Balcony,available,12.0
K14,K,14,Balcony,available,12.0
